x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
16782,2912,30578,1,1,1,1,1,14
16561,2891,30694,1,1,1,1,1,21
16702,2856,30343,1,1,1,1,1,13
17170,2872,30383,1,1,1,1,1,15
17172,2587,30121,1,1,1,1,1,7
15673,2655,29572,1,1,1,1,1,12
16347,1605,29112,1,1,1,1,1,9
16209,1606,29193,1,1,1,1,1,2
16000,1710,28852,1,1,1,1,1,41
15917,1663,28606,1,1,1,1,1,20
15848,1814,28998,1,1,1,1,1,15
15952,1636,29074,1,1,1,1,1,10
16028,1656,28839,1,1,1,1,1,21
16837,1910,29386,1,1,1,1,1,10
17130,1548,29030,1,1,1,1,1,16
17055,1198,29492,1,1,1,1,1,12
16585,1251,28418,1,1,1,1,1,12
17099,1438,28702,1,1,1,1,1,9
18066,1369,29280,1,1,1,1,1,16
18035,1375,29094,1,1,1,1,1,0
18189,1124,28594,1,1,1,1,1,6
16157,2963,25492,1,1,1,1,1,21
16386,1642,25720,1,1,1,1,1,11
16342,1661,26092,1,1,1,1,1,8
16373,1519,25036,1,1,1,1,1,19
16299,1507,27515,1,1,1,1,1,47
16193,1460,27948,1,1,1,1,1,2
16732,4657,25029,1,1,1,1,1,23
15739,5337,25556,1,1,1,1,1,20
12952,5665,26605,1,1,1,1,1,18
13020,5192,26299,1,1,1,1,1,16
13225,5159,26142,1,1,1,1,1,7
15489,797,27788,1,1,1,1,1,15
13555,522,26164,1,1,1,1,1,17
13833,776,28025,1,1,1,1,1,18
13334,196,27632,1,1,1,1,1,12
13023,312,27874,1,1,1,1,1,27
12568,912,27659,1,1,1,1,1,11
12627,1735,28082,1,1,1,1,1,15
13957,2913,28659,1,1,1,1,1,3
13841,2498,29313,1,1,1,1,1,18
13666,537,28955,1,1,1,1,1,41
13700,383,28141,1,1,1,1,1,22
14036,627,28571,1,1,1,1,1,14
14940,1115,28842,1,1,1,1,1,26
15182,1441,28908,1,1,1,1,1,41
15523,1395,28994,1,1,1,1,1,21
15023,1532,28959,1,1,1,1,1,21
14997,1471,29061,1,1,1,1,1,16
15213,1527,28832,1,1,1,1,1,20
14678,2943,29166,1,1,1,1,1,5
14116,1263,29976,1,1,1,1,1,15
14614,1257,29866,1,1,1,1,1,12
14513,661,30399,1,1,1,1,1,17
14593,145,30084,1,1,1,1,1,5
14946,1140,30026,1,1,1,1,1,55
15610,1284,30238,1,1,1,1,1,12
15182,1039,30994,1,1,1,1,1,20
15484,1391,30645,1,1,1,1,1,23
13298,4514,29847,1,1,1,1,1,5
12625,4312,29205,1,1,1,1,1,19
14418,4393,28134,1,1,1,1,1,8
15031,4292,30613,1,1,1,1,1,47
14898,4839,30642,1,1,1,1,1,24
13206,6053,30349,1,1,1,1,1,18
13762,4877,30057,1,1,1,1,1,29
12948,5010,29803,1,1,1,1,1,20
12615,5358,29830,1,1,1,1,1,7
13001,5014,29758,1,1,1,1,1,15
13423,6552,30729,1,1,1,1,1,25
13580,6905,30807,1,1,1,1,1,3
15542,6798,28776,1,1,1,1,1,1
14348,8967,31135,1,1,1,1,1,25
14847,9138,28369,1,1,1,1,1,1
14196,8639,28829,1,1,1,1,1,47
13148,8563,29052,1,1,1,1,1,17
12540,7981,28767,1,1,1,1,1,14
13130,8649,29708,1,1,1,1,1,29
13212,8937,30176,1,1,1,1,1,22
13214,9023,30301,1,1,1,1,1,6
13770,8892,30253,1,1,1,1,1,18
13705,8207,31159,1,1,1,1,1,40
12997,9547,30947,1,1,1,1,1,47
13043,9635,30945,1,1,1,1,1,35
12980,9587,30927,1,1,1,1,1,38
13927,9527,30553,1,1,1,1,1,23
12836,10795,29878,1,1,1,1,1,35
12763,10266,30917,1,1,1,1,1,22
12741,10612,30942,1,1,1,1,1,13
12914,11588,30832,1,1,1,1,1,33
12577,11211,30983,1,1,1,1,1,17
12821,12313,30814,1,1,1,1,1,23
12763,12161,30487,1,1,1,1,1,22
12626,11852,30857,1,1,1,1,1,9
12790,11602,30232,1,1,1,1,1,20
13835,11618,30468,1,1,1,1,1,31
13943,12250,30880,1,1,1,1,1,15
14031,11740,30753,1,1,1,1,1,0
14049,11169,30782,1,1,1,1,1,15
14685,11828,30879,1,1,1,1,1,9
14965,11295,30318,1,1,1,1,1,47
14198,10152,29042,1,1,1,1,1,7
14157,10013,28840,1,1,1,1,1,13
14676,9587,28557,1,1,1,1,1,8
18636,7931,26708,1,1,1,1,1,11
18692,8969,27483,1,1,1,1,1,35
18551,9317,27639,1,1,1,1,1,17
18668,9187,27508,1,1,1,1,1,17
18180,10851,26667,1,1,1,1,1,47
17445,10755,29290,1,1,1,1,1,26
18159,12331,30295,1,1,1,1,1,9
18044,8837,28487,1,1,1,1,1,21
18396,8625,28411,1,1,1,1,1,7
18494,8482,28450,1,1,1,1,1,19
18618,7745,28456,1,1,1,1,1,24
18054,6348,29252,1,1,1,1,1,24
19274,7244,30294,1,1,1,1,1,2
20237,6939,29108,1,1,1,1,1,5
20112,7276,28908,1,1,1,1,1,47
19270,8219,29291,1,1,1,1,1,33
19399,8545,29281,1,1,1,1,1,18
19233,8107,29169,1,1,1,1,1,11
19308,8421,29234,1,1,1,1,1,47
18919,8524,28415,1,1,1,1,1,1
19434,7913,29754,1,1,1,1,1,12
20571,6593,28829,1,1,1,1,1,14
20598,6530,28404,1,1,1,1,1,14
21468,7104,28067,1,1,1,1,1,2
19639,9223,26002,1,1,1,1,1,11
